gender,product_category,product_name,details,category_type,combined_features,text,weather_label
men,ACCESSORIES,cargo swim short,swimming trunk technical fabric velvety finish adjustable elasticate waist drawstre contrast trim detail rear patch pocket patch pocket leg vent hem lininglength inner leg seam cm length outer leg seam cm view,Accessories,short swim trunk short,short swim trunk short cargo swim short,10-15°C cool weather
men,ACCESSORIES,seersucker swimming trunk,swimming trunk technical fabric elasticate waistband pocket zip pocket detail patch pocket lining vent hem zip fly snapbutton fasteninglength inner leg seam cm length outer leg seam cm view,Accessories,trunk,trunk seersucker swimming trunk,10-15°C cool weather
men,ACCESSORIES,slogan print swimming trunk,swimming trunk technical fabric elasticate waistband adjustable drawstre pocket patch pocket lininglength inner leg seam cm length outer leg seam cm view,Accessories,trunk,trunk slogan print swimming trunk,10-15°C cool weather
men,ACCESSORIES,geometric print swimming trunk,swimming trunk technical fabric adjustable elasticate waistband drawstre pocket rear welt pocket detail lininglength inner leg seam cm length outer leg seam cm view,Accessories,trunk,trunk geometric print swimming trunk,10-15°C cool weather
men,ACCESSORIES,geometric print swimming trunk,swimming trunk technical fabric elasticate waistband adjustable drawstring pocket patch pocket lining vent hemlength inner leg seam cm length outer leg seam cm view,Accessories,trunk,trunk geometric print swimming trunk,10-15°C cool weather
men,ACCESSORIES,fish print swimming trunk,swimming trunk technical fabric adjustable elasticate waistband drawstre pocket patch pocket lininglength inner leg seam cm length outer leg seam cm view,Accessories,trunk,trunk fish print swimming trunk,10-15°C cool weather
men,ACCESSORIES,long swimming trunk,swimming trunk technical fabric adjustable elasticate waistband drawstre pocket zip pocket lininglength inner leg seam cm length outer leg seam cm view,Accessories,trunk long,trunk long long swimming trunk,10-15°C cool weather
men,ACCESSORIES,tiedye print swimming trunk,swimming trunk technical fabric adjustable elasticate waistband pocket rear patch pocket lininglength inner leg seam cm length outer leg seam cm view,Accessories,trunk,trunk tiedye print swimming trunk,10-15°C cool weather
men,ACCESSORIES,long tiedye swimming trunk,swimming trunk technical fabric adjustable elasticate waistband pocket zip pocket lininglength inner leg seam cm length outer leg seam cm view,Accessories,trunk long,trunk long long tiedye swimming trunk,10-15°C cool weather
men,ACCESSORIES,stripe technical swimming trunk,swimming trunk technical fabric adjustable elasticate waistband tab pocket patch pocket lininglength inner leg seam cm length outer leg seam cm view,Accessories,trunk,trunk stripe technical swimming trunk,10-15°C cool weather
men,ACCESSORIES,linen pareo,lightweight pareo linen feature contrast stripe fray trimsmeasurement x cm x,Accessories,linen lightweight,linen lightweight linen pareo,10-15°C cool weather
men,ACCESSORIES,geometric jacquard beach towel,beach towel terry cottonmeasurement x cm x,Accessories,towel,towel geometric jacquard beach towel,10-15°C cool weather
men,ACCESSORIES,rectangular sunglass limited edition,sunglass rectangular acetate frame case includeduvuva protection category,Accessories,acetate,acetate rectangular sunglass limited edition,10-15°C cool weather
men,ACCESSORIES,oval sunglass limited edition,sunglass oval acetate frame case includeduvuva protection category,Accessories,acetate,acetate oval sunglass limited edition,10-15°C cool weather
men,ACCESSORIES,premium square sunglass,sunglass square tortoiseshelleffect acetate frame polarise lense case includeduvuva protection category,Accessories,acetate,acetate premium square sunglass,10-15°C cool weather
men,ACCESSORIES,premium square sunglass,sunglass square acetate frame polarise lense case includeduvuva protection category,Accessories,acetate,acetate premium square sunglass,10-15°C cool weather
men,ACCESSORIES,rectangular sunglass,sunglass acetate frame polarise lense case includeduvuva protection category origin special collectionview,Accessories,acetate,acetate rectangular sunglass,10-15°C cool weather
men,ACCESSORIES,silk texture tie,wide tie texture silk fabric,Accessories,silk,silk silk texture tie,15-20°C mild weather
men,ACCESSORIES,silk wide tie,wide tie silk diagonal texture,Accessories,silk,silk silk wide tie,15-20°C mild weather
men,ACCESSORIES,silk skinny tie,skinny tie texture silk,Accessories,silk,silk silk skinny tie,15-20°C mild weather
men,ACCESSORIES,silk texture tie,wide tie silk fabric,Accessories,silk,silk silk texture tie,15-20°C mild weather
men,ACCESSORIES,jacquard tie cyclist,wide tie silk cotton blend,Accessories,cotton silk,cotton silk jacquard tie cyclist,10-15°C cool weather
men,ACCESSORIES,silk wool jacquard tie,wide tie silk wool blend,Accessories,silk wool,silk wool silk wool jacquard tie,15-20°C mild weather
men,ACCESSORIES,silk ottoman bow tie,bow tie silk adjustable elastic metal hook,Accessories,silk bow,silk bow silk ottoman bow tie,15-20°C mild weather
men,ACCESSORIES,denim cap,fade peak cap adjustable,Accessories,denim cap denim,denim cap denim denim cap,15-20°C mild weather
men,ACCESSORIES,soft cap,peak cap adjustable strap,Accessories,cap,cap soft cap,10-15°C cool weather
men,ACCESSORIES,fade texture cap,peak cap embroider detail adjustable drawstring,Accessories,cap,cap fade texture cap,10-15°C cool weather
men,ACCESSORIES,texture cap,peak cap adjustable strap fastening,Accessories,cap,cap texture cap,10-15°C cool weather
men,ACCESSORIES,texture peak cap,visor adjustable strap,Accessories,cap,cap texture peak cap,15-20°C mild weather
men,ACCESSORIES,cap contrast patch,peak cap contrast patch detail adjustable,Accessories,cap,cap cap contrast patch,10-15°C cool weather
men,ACCESSORIES,cap contrast embroidery,peak cap contrast embroider detail adjustable,Accessories,cap,cap cap contrast embroidery,15-20°C mild weather
men,ACCESSORIES,cap embroider slogan,peak cap matching embroidery slogan adjustable fastening,Accessories,cap,cap cap embroider slogan,15-20°C mild weather
men,ACCESSORIES,cap embroider slogan,peak cap contrast embroidery slogan adjustable fastening,Accessories,cap,cap cap embroider slogan,15-20°C mild weather
men,ACCESSORIES,pack stone ring,pack metal ring contrast stone mm silverplated finishmeasurementssize m circumference mm diameter mmsize l circumference mm diameter mmview,Accessories,ring,ring pack stone ring,10-15°C cool weather
men,ACCESSORIES,signet ring,metal signet ring age finishmeasurementssize m circumference mm diameter mmsize l circumference mm diameter mmview,Accessories,ring,ring signet ring,10-15°C cool weather
men,ACCESSORIES,signet ring,metal signet ring measurementssize m circumference mm diameter mmsize l circumference mm diameter mmview,Accessories,ring,ring signet ring,10-15°C cool weather
men,ACCESSORIES,band ring,metal ring mm silverplated finishmeasurementssize m circumference mm diameter mmsize l circumference mm diameter mmview,Accessories,band ring,band ring band ring,10-15°C cool weather
men,ACCESSORIES,contrast signet ring,metal contrast signet ring mm silverplated finishmeasurementssize m circumference mm diameter mmsize l circumference mm diameter mmview,Accessories,ring,ring contrast signet ring,10-15°C cool weather
men,ACCESSORIES,chain geometric pendant,metal chain match geometric pendant lobster clasp fasteninglength medium,Accessories,pendant,pendant chain geometric pendant,15-20°C mild weather
men,ACCESSORIES,metal link chain,chain comprise metal chain link bar closurelength medium,Accessories,, metal link chain,10-15°C cool weather
men,ACCESSORIES,chain pendant,metal chain match pendant detail mm silverplated finish lobster clasp fasteninglength medium,Accessories,pendant,pendant chain pendant,15-20°C mild weather
men,ACCESSORIES,metal link chain,chain comprise metal chain link lobster clasp closurelength medium,Accessories,, metal link chain,10-15°C cool weather
men,ACCESSORIES,metal link chain,chain comprise metal link mm silverplated finish lobster clasp fasteninglength medium,Accessories,, metal link chain,10-15°C cool weather
men,ACCESSORIES,contrast chain pearl bead,contrast metal chain pearl bead mm silverplated finish lobster clasp fasteninglength medium,Accessories,, contrast chain pearl bead,10-15°C cool weather
men,ACCESSORIES,engrave chain link bracelet,bracelet comprise metal link engrave slogan detail clasp fasten,Accessories,bracelet,bracelet engrave chain link bracelet,10-15°C cool weather
men,ACCESSORIES,chain link bracelet,bracelet comprise metal link mm silverplated finish lobster clasp fasten,Accessories,bracelet,bracelet chain link bracelet,15-20°C mild weather
men,ACCESSORIES,bracelet metal link,bracelet metal chain link lobster clasp closure,Accessories,bracelet,bracelet bracelet metal link,10-15°C cool weather
men,ACCESSORIES,irregular rigid bracelet,open metal bracelet irregular mm silverplated finish,Accessories,bracelet,bracelet irregular rigid bracelet,10-15°C cool weather
men,ACCESSORIES,mini nylon messenger bag,crossbody bag soft design main compartment flap fasten metal hook adjustable strapheight x length x width x x cm x x view,Accessories,nylon bag mini,nylon bag mini mini nylon messenger bag,15-20°C mild weather
men,ACCESSORIES,mini crossbody bag flap,crossbody bag soft construction main compartment zip closure inside small pocket closure pocket magnetic closure flap adjustable detachable shoulder strapheight x length x width x x cm x x view,Accessories,bag mini,bag mini mini crossbody bag flap,15-20°C mild weather
men,ACCESSORIES,bag multiple pocket,handbag multiple detachable pocket central hoop main bag zip closure inside small pocket closure second small bucket bag gather drawstre closure small bag purse case headphone compatible airpod size adjustable shoulder strapmain pocket length x height x cm x bucket pocket length x height x width x x cm x x purse pocket height x length x cm x view,Accessories,bag,bag bag multiple pocket,10-15°C cool weather
men,ACCESSORIES,denim earphone bag,earphone bag denim zip closure adjustable detachable cordheight x length x width x x cm x x,Accessories,denim bag denim earphone,denim bag denim earphone denim earphone bag,15-20°C mild weather
men,ACCESSORIES,nylon multipocket bag,handbag multiple detachable pocket central hoop main bag zip closure inside small pocket closure second small bucket bag gather drawstre closure small bag purse case headphone compatible airpod size adjustable shoulder strapmain pocket length x height x cm x bucket pocket length x height x width x x cm x x purse pocket height x length x cm x view,Accessories,nylon bag,nylon bag nylon multipocket bag,15-20°C mild weather
men,ACCESSORIES,hoop earring,metal earring pushback closure,Accessories,earring,earring hoop earring,15-20°C mild weather
men,ACCESSORIES,irregular earring,earring irregular finish pushback fasten,Accessories,earring,earring irregular earring,10-15°C cool weather
men,ACCESSORIES,earring,metal earring mm silverplated finish pushback clasp,Accessories,earring,earring earring,15-20°C mild weather
men,ACCESSORIES,bucket hat,hat cotton fabric wide brim topstitching detail fray trim fade effect,Accessories,cotton hat,cotton hat bucket hat,rain
men,ACCESSORIES,utility hat,widebrimme hat topstitching detail zip pocket adjustable drawstring,Accessories,hat,hat utility hat,rain
men,ACCESSORIES,stripe crochet hat,hat spun cotton fabric,Accessories,cotton hat,cotton hat stripe crochet hat,15-20°C mild weather
men,ACCESSORIES,weave bucket hat,weave hat open texture,Accessories,hat,hat weave bucket hat,rain
men,ACCESSORIES,contrast crochet hat,hat spin cotton thread contrast topstitche brim,Accessories,cotton hat,cotton hat contrast crochet hat,10-15°C cool weather
men,ACCESSORIES,texture bucket hat,hat texture ripstop fabric resistant tear wide brim topstitching detail,Accessories,hat,hat texture bucket hat,10-15°C cool weather
men,ACCESSORIES,bucket hat contrast topstitche,hat cotton fabric wide brim contrast topstitche detail fray trim,Accessories,cotton hat,cotton hat bucket hat contrast topstitche,rain
men,ACCESSORIES,texture bucket hat,hat cotton fabric brim topstitching detail fade effect,Accessories,cotton hat,cotton hat texture bucket hat,rain
men,ACCESSORIES,denim bucket hat,hat denim fabric fade effect,Accessories,denim denim hat,denim denim hat denim bucket hat,rain
men,ACCESSORIES,bucket hat,hat cotton fabric wide brim topstitching detail fade effect,Accessories,cotton hat,cotton hat bucket hat,rain
men,ACCESSORIES,short beanie,adjustable hat texture ripstop fabric resistant tear turnup brim,Accessories,beanie hat short short,beanie hat short short short beanie,10-15°C cool weather
men,ACCESSORIES,texture cotton flat cap,flat cap visor adjustable elastic,Accessories,cotton cap,cotton cap texture cotton flat cap,15-20°C mild weather
men,ACCESSORIES,tiedye print bandana,bandana cottonmeasurement x cm x,Accessories,bandana,bandana tiedye print bandana,10-15°C cool weather
men,ACCESSORIES,geometric embroidery bandana,bandana cotton contrast embroiderymeasurement x cm x,Accessories,cotton bandana,cotton bandana geometric embroidery bandana,15-20°C mild weather
men,ACCESSORIES,abstract print bandana,bandana cotton measurement x cm x,Accessories,cotton bandana,cotton bandana abstract print bandana,15-20°C mild weather
men,ACCESSORIES,paisley print bandanna,bandana cottonmeasurement x cm x,Accessories,bandana,bandana paisley print bandanna,15-20°C mild weather
men,ACCESSORIES,linen pareo,lightweight pareo linen feature contrast stripe fray trimsmeasurement x cm x,Accessories,linen lightweight,linen lightweight linen pareo,10-15°C cool weather
men,ACCESSORIES,basic training short,workout short lightweight stretchy technical fabric elasticate waistband drawstring pocket security pocket thermoseale zip closure line inner leg length cm slit hem logo print legzara athleticzview,Accessories,short lightweight thermoseale short,short lightweight thermoseale short basic training short,10-15°C cool weather
men,ACCESSORIES,technical backpack,multipocket backpack main compartment zip closure interior small pocket zip closure feature large pocket zip adjustable fasten pocket adjustable fasten handle adjustable shoulder strap ergonomic pad improved comfort use adjustable strap chest clip buckle fasteningheight x length x width x x cm x x view,Accessories,backpack,backpack technical backpack,10-15°C cool weather
men,ACCESSORIES,sport backpack,multipocket backpack combination material colour exterior main compartment fasten zip feature inside pocket closure electronic device inch flat pocket zip closure adjustable mesh pocket side handle adjustable shoulder strap zip pocket ergonomic pad improved comfort use adjustable chest strap clip buckle fasten height x length x width x x cmview,Accessories,backpack,backpack sport backpack,10-15°C cool weather
men,ACCESSORIES,technical bucket hat,bucket hat breathable stretch fabric adjustable matching drawstringzara athleticz,Accessories,hat breathable,hat breathable technical bucket hat,rain
men,ACCESSORIES,rolltop sport backpack,multipocket backpack combination material exterior main compartment fasten zip roll clip buckle side open zip closure small pocket thermoseale zip fastening feature adjustable mesh pocket side handle adjustable breathable shoulder strap compartment thermoseale zip closure ergonomic pad improved comfort use adjustable chest clip buckle fasteningheight x length x width x x cm x x view,Accessories,backpack breathable thermoseale,backpack breathable thermoseale rolltop sport backpack,10-15°C cool weather
men,ACCESSORIES,pack training sock,pack pair sock spun cotton blend fabric rib trimszara athleticz,Accessories,cotton,cotton pack training sock,10-15°C cool weather
men,ACCESSORIES,pack training sock,pack pair seamless sock rib trimszara athleticz,Accessories,, pack training sock,10-15°C cool weather
men,ACCESSORIES,nylon toiletry bag,toiletry bag combination material upper main compartment zip closure small pocket inside fasten pocket technical clasp fasten handle different sizesheight x length x width x x cm x x view,Accessories,nylon bag,nylon bag nylon toiletry bag,15-20°C mild weather
men,ACCESSORIES,nylon belt bag,soft belt bag technical fabric upper main compartment zip closure pocket technical clasp adjustable handle clip buckle height x length x cm x view,Accessories,nylon bag belt,nylon bag belt nylon belt bag,15-20°C mild weather
men,ACCESSORIES,training short,workout short lightweight stretchy technical fabric elastic waistband drawstring security pocket thermoseale zip closure line inner leg length cm slit hem logo print legzara athleticzview,Accessories,short lightweight thermoseale short,short lightweight thermoseale short training short,10-15°C cool weather
men,ACCESSORIES,sport backpack,multipocket backpack combination material colour upper main compartment zip fastening different height access pocket adjustable thank technical fastener adjustable mesh pocket side handle adjustable shoulder strap ergonomic pad improved comfort use adjustable strap chest clip buckle fasteningheight x length x width x x cm x x athleticz collectionview,Accessories,backpack,backpack sport backpack,10-15°C cool weather
men,ACCESSORIES,training sock,pack pair seamless mesh sock rib trim,Accessories,, training sock,10-15°C cool weather
men,ACCESSORIES,athleticz laken l oz thermos bottle,thermos bottle laken brand stainless steel cap screwtype closure automatic button drink mouthpiece litre capacity free bpa phthalate harmful substance internal coating polyamide varnish free epoxy resin totally safe resistant completely insulate thecontent protect break crack dent blow retain impart flavour reusable recyclable hermetic closureview,Accessories,polyamide bottle cap insulate thermos,polyamide bottle cap insulate thermos athleticz laken l oz thermos bottle,5-10°C cold weather
men,ACCESSORIES,baseball training cap,peak cap adjustable strap backzara athleticz,Accessories,cap,cap baseball training cap,10-15°C cool weather
men,ACCESSORIES,training short,training short lightweight stretchy technical fabric inner mesh design practise sport elastic waistband inner drawstring hip pocket inner leg length cm print logo detail reflective effectzara athleticzview,Accessories,short lightweight short,short lightweight short training short,10-15°C cool weather
men,ACCESSORIES,strappy cycling culotte,culotte highly stretchy fabric elastic strap freedom movement flatlock antiabrasion seam ergonomic bikepad quickdrye bacteriostatic fabric suitable training type distance differentiate bikepad fill relieve pressure central foam mm thick perforate well ventilation insert mm thick allow wide position range bike reflectiveeffect appliqué legszara athleticzview,Accessories,, strappy cycling culotte,10-15°C cool weather
men,ACCESSORIES,cap,cap stretchy breathable fabric secure fit inner elastic bandzara athleticz,Accessories,cap breathable,cap breathable cap,rain
men,ACCESSORIES,technical bucket hat,hat lightweight technical fabric feature wide brim topstitche detail adjustable chin tiezara athleticz,Accessories,hat lightweight,hat lightweight technical bucket hat,rain
